epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,258.298,2.27187,2.30765,1.1244,0.02066,0.57677,0.02021,0.006,2.46295,3.58365,1.23758,0.000653333,0.000653333,0.000653333
2,515.894,2.23997,1.54246,1.13332,0.64732,0.3767,0.44203,0.14309,2.14232,2.64123,1.10464,0.00129386,0.00129386,0.00129386
3,768.423,2.17871,1.48271,1.12507,0.65603,0.60395,0.62885,0.23129,2.09055,1.82387,1.13147,0.00190799,0.00190799,0.00190799
4,1025.97,2.14568,1.42964,1.11427,0.75349,0.66667,0.72545,0.2934,2.02047,1.57063,1.10742,0.0018812,0.0018812,0.0018812
5,1281.12,2.1432,1.38727,1.12261,0.64144,0.60997,0.60282,0.2256,2.04698,1.85712,1.10851,0.0018416,0.0018416,0.0018416
6,1523.9,2.11468,1.30116,1.10565,0.75217,0.68398,0.73324,0.30037,1.93891,1.50893,1.09194,0.001802,0.001802,0.001802
7,1766.5,2.10412,1.32365,1.10588,0.75654,0.66406,0.73062,0.30728,1.96618,1.32124,1.0971,0.0017624,0.0017624,0.0017624
8,2007.49,2.06548,1.23948,1.10591,0.77494,0.67543,0.7556,0.30937,1.92799,1.20595,1.07178,0.0017228,0.0017228,0.0017228
9,2247.76,2.05465,1.22476,1.08955,0.73739,0.65997,0.71975,0.28801,1.99965,1.25979,1.09094,0.0016832,0.0016832,0.0016832
10,2481.91,2.02866,1.1807,1.08174,0.71217,0.63689,0.6874,0.25867,2.09453,1.28729,1.12426,0.0016436,0.0016436,0.0016436
11,2714.95,2.0254,1.18251,1.08544,0.79665,0.70434,0.78762,0.33523,1.86632,1.24576,1.05554,0.001604,0.001604,0.001604
12,2947.74,1.99978,1.1629,1.07306,0.74264,0.69119,0.73994,0.30207,1.87571,1.21487,1.06364,0.0015644,0.0015644,0.0015644
13,3182.29,1.9935,1.12607,1.06583,0.80732,0.7145,0.79771,0.35922,1.84154,1.10319,1.05135,0.0015248,0.0015248,0.0015248
14,3414.81,1.98561,1.15142,1.07994,0.78885,0.70668,0.78189,0.32586,1.87692,1.12876,1.056,0.0014852,0.0014852,0.0014852
15,3648.69,1.96135,1.09589,1.05177,0.8028,0.72008,0.80306,0.3449,1.85817,1.11585,1.05322,0.0014456,0.0014456,0.0014456
16,3881.19,1.95717,1.09447,1.07656,0.80001,0.72976,0.79947,0.351,1.87478,1.23491,1.06164,0.001406,0.001406,0.001406
17,4115.65,1.97969,1.07501,1.06303,0.80537,0.73814,0.81433,0.36301,1.83212,1.05446,1.04559,0.0013664,0.0013664,0.0013664
