epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,129.957,2.41291,2.3402,1.16737,0.02703,0.82924,0.06532,0.02421,2.0464,3.08977,1.07604,0.00065,0.00065,0.00065
2,266.762,2.15128,1.50471,1.09748,0.52699,0.42945,0.39646,0.1191,2.19424,2.66693,1.12231,0.0012906,0.0012906,0.0012906
3,410.028,2.13846,1.45136,1.11897,0.622,0.53988,0.59041,0.22187,2.03793,1.85286,1.08707,0.00190479,0.00190479,0.00190479
4,555.846,2.10558,1.35894,1.09592,0.69924,0.63395,0.66993,0.2712,1.98617,1.47835,1.09627,0.0018812,0.0018812,0.0018812
5,694.893,2.09475,1.31959,1.09698,0.68105,0.58896,0.65945,0.25133,2.028,1.45509,1.11073,0.0018416,0.0018416,0.0018416
6,832.466,2.10954,1.32321,1.11323,0.66582,0.62339,0.6564,0.2551,1.96656,1.50644,1.08466,0.001802,0.001802,0.001802
7,968.372,2.10247,1.28247,1.10073,0.71649,0.61963,0.69623,0.2646,2.00582,1.36812,1.09283,0.0017624,0.0017624,0.0017624
8,1105.88,2.09566,1.27273,1.09921,0.73681,0.64008,0.72906,0.30111,1.94979,1.25936,1.07834,0.0017228,0.0017228,0.0017228
9,1252.7,2.03082,1.20233,1.07713,0.74784,0.67319,0.73965,0.30748,1.98565,1.20255,1.08453,0.0016832,0.0016832,0.0016832
10,1393.24,2.01742,1.18858,1.079,0.78508,0.67894,0.76033,0.32173,1.91037,1.18319,1.06802,0.0016436,0.0016436,0.0016436
11,1532.32,2.00817,1.15764,1.0821,0.79809,0.66871,0.76977,0.32195,1.9199,1.17511,1.06484,0.001604,0.001604,0.001604
12,1672.57,1.97999,1.12732,1.07237,0.76668,0.6953,0.76943,0.33074,1.89253,1.14693,1.06351,0.0015644,0.0015644,0.0015644
13,1808.75,1.94441,1.09396,1.05512,0.78566,0.7229,0.7871,0.33034,1.91576,1.11474,1.06158,0.0015248,0.0015248,0.0015248
14,1929.48,1.96146,1.08669,1.0453,0.79142,0.69325,0.78386,0.32648,1.93871,1.13149,1.07375,0.0014852,0.0014852,0.0014852
15,2050.37,1.93419,1.08131,1.05528,0.77379,0.69325,0.76774,0.3271,1.89515,1.16971,1.06341,0.0014456,0.0014456,0.0014456
16,2168.64,1.94813,1.07897,1.05679,0.8004,0.69734,0.76853,0.33508,1.93002,1.05218,1.08099,0.001406,0.001406,0.001406
17,2286.46,1.93823,1.04504,1.06131,0.79757,0.71306,0.79079,0.33852,1.90891,1.09616,1.06021,0.0013664,0.0013664,0.0013664
18,2405.1,1.9201,1.06987,1.04737,0.76714,0.7276,0.79674,0.3358,1.91958,1.11311,1.06577,0.0013268,0.0013268,0.0013268
19,2522.86,1.94339,1.06812,1.04678,0.7392,0.72452,0.78014,0.32936,1.94448,1.16907,1.06609,0.0012872,0.0012872,0.0012872
20,2639.52,1.90859,1.03743,1.047,0.80554,0.72004,0.81177,0.36133,1.86276,1.02848,1.0548,0.0012476,0.0012476,0.0012476
21,2757.06,1.89713,1.015,1.03104,0.78157,0.75869,0.81512,0.35065,1.89203,1.03455,1.07016,0.001208,0.001208,0.001208
22,2875.31,1.88817,0.99042,1.02934,0.78425,0.7454,0.81166,0.35939,1.85441,1.01239,1.05178,0.0011684,0.0011684,0.0011684
23,2992.5,1.90092,1.03108,1.03997,0.79535,0.72188,0.77741,0.33094,1.91615,1.02752,1.06676,0.0011288,0.0011288,0.0011288
24,3109.99,1.91175,1.02035,1.0262,0.80681,0.72166,0.78048,0.34136,1.89847,1.02287,1.06298,0.0010892,0.0010892,0.0010892
25,3226.27,1.91269,1.00711,1.03754,0.81213,0.7546,0.8147,0.35127,1.87182,1.06808,1.0502,0.0010496,0.0010496,0.0010496
26,3345.18,1.85527,0.98139,1.02288,0.78549,0.74335,0.81433,0.36287,1.8376,1.00063,1.04536,0.00101,0.00101,0.00101
27,3462.61,1.84269,0.9672,1.02393,0.8182,0.7454,0.82021,0.36341,1.86549,1.02596,1.05232,0.0009704,0.0009704,0.0009704
28,3585.14,1.83435,0.96436,1.0312,0.83559,0.7362,0.82334,0.36837,1.84983,0.98927,1.04259,0.0009308,0.0009308,0.0009308
29,3705.96,1.84104,0.94582,1.01292,0.80466,0.73289,0.8067,0.34757,1.8953,1.00766,1.05982,0.0008912,0.0008912,0.0008912
30,3824.13,1.87055,0.9709,1.0208,0.77095,0.72272,0.78527,0.33603,1.95672,1.03479,1.07384,0.0008516,0.0008516,0.0008516
31,3941.75,1.83816,0.95418,1.02345,0.82573,0.75562,0.82675,0.37155,1.84331,0.97417,1.04176,0.000812,0.000812,0.000812
32,4059.44,1.83745,0.93279,1.01734,0.83292,0.73399,0.8205,0.36854,1.87012,0.96467,1.05353,0.0007724,0.0007724,0.0007724
33,4176.72,1.81734,0.94698,1.01581,0.81569,0.7638,0.83178,0.3762,1.83638,0.98157,1.04088,0.0007328,0.0007328,0.0007328
34,4293.9,1.86374,0.95966,1.01732,0.82098,0.74744,0.82969,0.37817,1.85381,0.96977,1.04672,0.0006932,0.0006932,0.0006932
35,4411.35,1.82005,0.9384,1.01031,0.82351,0.74903,0.83093,0.37894,1.83189,0.93573,1.04402,0.0006536,0.0006536,0.0006536
36,4528.46,1.83903,0.9235,1.02252,0.82384,0.75767,0.83663,0.37974,1.86092,0.94333,1.05127,0.000614,0.000614,0.000614
37,4646.42,1.78627,0.88665,1.00692,0.84395,0.76483,0.84493,0.38308,1.85045,0.94061,1.04353,0.0005744,0.0005744,0.0005744
38,4775.58,1.79112,0.92089,1.01026,0.82258,0.77301,0.83753,0.37804,1.84181,0.93834,1.04305,0.0005348,0.0005348,0.0005348
39,4904.14,1.78512,0.90459,1.00789,0.84218,0.74029,0.80689,0.36387,1.86888,0.95357,1.05636,0.0004952,0.0004952,0.0004952
40,5030.8,1.80003,0.90526,1.01761,0.80862,0.76074,0.82679,0.3721,1.84669,0.94902,1.04662,0.0004556,0.0004556,0.0004556
41,5157.02,1.7805,0.8837,1.04178,0.80711,0.73313,0.81446,0.34736,1.94737,0.97779,1.06804,0.000416,0.000416,0.000416
42,5282.61,1.74325,0.88741,1.04225,0.82551,0.76892,0.84246,0.37267,1.85599,0.95813,1.04612,0.0003764,0.0003764,0.0003764
43,5407.15,1.76755,0.88354,1.03514,0.83946,0.76278,0.83837,0.38603,1.82021,0.93462,1.04047,0.0003368,0.0003368,0.0003368
44,5538.69,1.72133,0.87372,1.02673,0.84654,0.76585,0.84496,0.38499,1.81485,0.93276,1.03552,0.0002972,0.0002972,0.0002972
45,5662.75,1.70606,0.85208,1.02462,0.84323,0.77198,0.84851,0.38422,1.82353,0.92862,1.04394,0.0002576,0.0002576,0.0002576
46,5786.93,1.71862,0.84753,1.01928,0.83188,0.77812,0.84795,0.39045,1.81317,0.91203,1.04063,0.000218,0.000218,0.000218
47,5901,1.70497,0.84689,1.01535,0.85034,0.77301,0.84794,0.38941,1.83359,0.90862,1.04455,0.0001784,0.0001784,0.0001784
48,6016.08,1.70261,0.83729,1.0195,0.85906,0.76657,0.84991,0.3884,1.83439,0.91533,1.04014,0.0001388,0.0001388,0.0001388
49,6142.49,1.68845,0.82803,1.02078,0.84545,0.76278,0.83974,0.38761,1.83523,0.91727,1.04078,9.92e-05,9.92e-05,9.92e-05
50,6265.21,1.7095,0.83123,1.02319,0.85131,0.76689,0.84482,0.38679,1.83311,0.91405,1.04037,5.96e-05,5.96e-05,5.96e-05
