epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,315.885,2.30266,2.33474,1.12298,0.01793,0.5501,0.01471,0.00457,2.22035,3.48321,1.13885,0.00065,0.00065,0.00065
2,628.131,2.17636,1.50583,1.12711,0.02317,0.71063,0.14708,0.04311,2.30998,3.0385,1.13451,0.0012906,0.0012906,0.0012906
3,943.492,2.21845,1.53666,1.14216,0.32466,0.33845,0.24586,0.07406,2.58533,2.57625,1.30682,0.00190479,0.00190479,0.00190479
4,1250.69,2.18312,1.4302,1.1202,0.58212,0.59202,0.56896,0.22195,2.05894,1.86177,1.12741,0.0018812,0.0018812,0.0018812
5,1557.28,2.17169,1.37995,1.12864,0.54528,0.58976,0.51883,0.1854,2.08867,1.60075,1.11494,0.0018416,0.0018416,0.0018416
6,1863.29,2.12899,1.33691,1.12003,0.73286,0.64928,0.68931,0.27705,2.02813,1.44708,1.11256,0.001802,0.001802,0.001802
7,2167.03,2.10233,1.30237,1.10835,0.69899,0.63397,0.66922,0.26864,2.04705,1.29474,1.10752,0.0017624,0.0017624,0.0017624
8,2470.24,2.06913,1.28359,1.1081,0.69435,0.66258,0.67981,0.27338,2.06257,1.32458,1.14877,0.0017228,0.0017228,0.0017228
9,2775.19,2.08194,1.25289,1.10652,0.65277,0.58487,0.6464,0.22758,2.12024,1.38448,1.12264,0.0016832,0.0016832,0.0016832
10,3079.13,2.0482,1.22798,1.09515,0.74212,0.68405,0.71317,0.28948,2.02317,1.22352,1.11231,0.0016436,0.0016436,0.0016436
11,3383.12,2.02821,1.2165,1.0958,0.77267,0.67894,0.75029,0.31298,1.93764,1.3073,1.07214,0.001604,0.001604,0.001604
12,3685.14,2.02218,1.16773,1.09552,0.76284,0.70054,0.7517,0.31109,1.94004,1.27989,1.08363,0.0015644,0.0015644,0.0015644
13,3986.74,1.96478,1.134,1.07481,0.73055,0.68751,0.73977,0.30456,1.98305,1.19179,1.08828,0.0015248,0.0015248,0.0015248
14,4291.8,2.00679,1.13848,1.06239,0.75129,0.69494,0.74536,0.31078,1.95877,1.17117,1.07445,0.0014852,0.0014852,0.0014852
15,4590.76,1.98463,1.13318,1.07666,0.74032,0.69121,0.74245,0.31103,1.93523,1.18211,1.07382,0.0014456,0.0014456,0.0014456
16,4891.18,1.99149,1.1241,1.07923,0.77477,0.68941,0.74854,0.31492,1.98219,1.13615,1.0979,0.001406,0.001406,0.001406
17,5190,1.97952,1.08705,1.08452,0.72434,0.68916,0.73783,0.31217,1.95319,1.15478,1.08173,0.0013664,0.0013664,0.0013664
18,5490.04,1.98237,1.12702,1.06929,0.76796,0.61927,0.72182,0.27874,2.03901,1.20001,1.08879,0.0013268,0.0013268,0.0013268
19,5789.67,1.99782,1.11217,1.07038,0.72967,0.69826,0.75648,0.30976,2.00396,1.14571,1.09044,0.0012872,0.0012872,0.0012872
20,6087.89,1.96198,1.08485,1.07181,0.75656,0.69121,0.75648,0.31651,1.91793,1.12468,1.06881,0.0012476,0.0012476,0.0012476
21,6390.03,1.91415,1.04676,1.03728,0.75631,0.70757,0.77331,0.33247,1.91971,1.09959,1.06214,0.001208,0.001208,0.001208
22,6688.16,1.92664,1.04535,1.0439,0.80935,0.70654,0.77895,0.34247,1.87616,1.06373,1.06515,0.0011684,0.0011684,0.0011684
23,6983.49,1.95722,1.08041,1.06412,0.81671,0.70245,0.78172,0.33124,1.93095,1.06999,1.08087,0.0011288,0.0011288,0.0011288
24,7283.46,1.93747,1.0575,1.04492,0.81073,0.69638,0.76417,0.33363,1.91271,1.05091,1.07993,0.0010892,0.0010892,0.0010892
25,7581.09,1.91995,1.03357,1.04793,0.79153,0.72904,0.78594,0.33853,1.89648,1.03954,1.06678,0.0010496,0.0010496,0.0010496
26,7880.47,1.90169,1.02864,1.04151,0.81787,0.71677,0.79649,0.35382,1.83911,1.04699,1.04996,0.00101,0.00101,0.00101
27,8178.85,1.89867,1.021,1.04728,0.79341,0.73042,0.79989,0.36304,1.86014,1.03351,1.05217,0.0009704,0.0009704,0.0009704
28,8478.03,1.88489,0.99431,1.054,0.75456,0.73006,0.78553,0.33834,1.88632,1.03953,1.04938,0.0009308,0.0009308,0.0009308
29,8776.93,1.8732,0.98056,1.02683,0.77136,0.7106,0.77616,0.31878,1.95777,1.06892,1.0728,0.0008912,0.0008912,0.0008912
